policy_id,reported_fail_rate,profit_failure_rate,cumulative_shortage_failure_rate,consecutive_shortage_failure_rate,consecutive_only_rate,shortage_only_rate,profit_only_rate,multiple_condition_rate,mean_shortage_rate
P0,0.742857143,0.000000000,0.000000000,0.742857143,0.742857143,0.000000000,0.000000000,0.000000000,0.003078024
P1,0.772142857,0.000000000,0.000000000,0.772142857,0.772142857,0.000000000,0.000000000,0.000000000,0.003675281
P2,0.776428571,0.000000000,0.000000000,0.776428571,0.776428571,0.000000000,0.000000000,0.000000000,0.003499259
P3,0.756428571,0.000000000,0.000000000,0.756428571,0.756428571,0.000000000,0.000000000,0.000000000,0.002841931
P4,0.981428571,0.000000000,0.000000000,0.981428571,0.981428571,0.000000000,0.000000000,0.000000000,0.008118630
P5,0.800714286,0.000000000,0.000000000,0.800714286,0.800714286,0.000000000,0.000000000,0.000000000,0.003887364
P6,0.787857143,0.000000000,0.000000000,0.787857143,0.787857143,0.000000000,0.000000000,0.000000000,0.003580802
P7,0.648571429,0.000000000,0.000000000,0.648571429,0.648571429,0.000000000,0.000000000,0.000000000,0.002756840
P8,0.758571429,0.000000000,0.000000000,0.758571429,0.758571429,0.000000000,0.000000000,0.000000000,0.002743752
P9,0.766428571,0.000000000,0.000000000,0.766428571,0.766428571,0.000000000,0.000000000,0.000000000,0.003839170
