consecutive_month_threshold,policy_id,classified_failure_rate
2,P0,0.835000000
2,P1,0.839285714
2,P2,0.851428571
2,P3,0.842857143
2,P4,0.995000000
2,P5,0.862857143
2,P6,0.861428571
2,P7,0.742857143
2,P8,0.846428571
2,P9,0.829285714
3,P0,0.742857143
3,P1,0.772142857
3,P2,0.776428571
3,P3,0.756428571
3,P4,0.981428571
3,P5,0.800714286
3,P6,0.787857143
3,P7,0.648571429
3,P8,0.758571429
3,P9,0.766428571
4,P0,0.667857143
4,P1,0.700714286
4,P2,0.715000000
4,P3,0.685000000
4,P4,0.973571429
4,P5,0.736428571
4,P6,0.726428571
4,P7,0.580714286
4,P8,0.689285714
4,P9,0.717142857
5,P0,0.563571429
5,P1,0.603571429
5,P2,0.599285714
5,P3,0.555714286
5,P4,0.960000000
5,P5,0.630000000
5,P6,0.607857143
5,P7,0.466428571
5,P8,0.533571429
5,P9,0.649285714
6,P0,0.416428571
6,P1,0.480714286
6,P2,0.456428571
6,P3,0.400714286
6,P4,0.941428571
6,P5,0.485000000
6,P6,0.450000000
6,P7,0.295714286
6,P8,0.304285714
6,P9,0.577857143
