policy_id,avg_objective,std_objective,min_objective,p10_objective,p25_objective,median_objective,p75_objective,p90_objective,max_objective,cvar_10pct,fail_rate,comment_ko,comment_en
P0,151888.336079,22404.460054,107996.394773,127085.794178,136428.708613,148026.146707,161947.374030,187322.058992,229247.678944,121349.519110,0.742857143,공통난수 확률가중 결과,CRN probability-weighted result
P1,152876.697043,23912.802855,111397.294855,125392.103514,135845.526676,148675.887784,163401.493966,191145.386275,232317.739907,120661.100709,0.772142857,공통난수 확률가중 결과,CRN probability-weighted result
P2,152134.694895,22940.188389,109993.992846,125487.978278,135675.724374,148363.747934,163372.020305,188479.936913,233519.607895,120408.378875,0.776428571,공통난수 확률가중 결과,CRN probability-weighted result
P3,152546.306922,22650.847453,109750.603458,126590.933330,136727.997315,148841.172792,163264.275053,187048.791168,229805.963355,121031.427858,0.756428571,공통난수 확률가중 결과,CRN probability-weighted result
P4,122280.019957,17804.643999,74684.974085,101332.342576,110601.736155,119882.359902,130753.656300,149386.622408,179903.139362,95323.748834,0.981428571,공통난수 확률가중 결과,CRN probability-weighted result
P5,152584.241359,24472.605318,107755.474515,123783.904757,135525.910533,148991.647602,163951.267068,190616.467005,238791.232739,118210.452882,0.800714286,공통난수 확률가중 결과,CRN probability-weighted result
P6,151138.828435,22680.934540,108249.305806,124116.030720,135275.504481,147991.703505,162022.992686,185792.709271,241011.452206,118376.790933,0.787857143,공통난수 확률가중 결과,CRN probability-weighted result
P7,142129.194951,19697.044019,104519.224992,120061.550574,128488.057749,138589.441911,151409.556098,173210.219877,217068.782907,115014.878625,0.648571429,공통난수 확률가중 결과,CRN probability-weighted result
P8,153881.797727,23826.875567,108116.184875,126751.156354,137596.300699,149566.848808,164759.535002,191752.046304,237057.737041,120696.045541,0.758571429,공통난수 확률가중 결과,CRN probability-weighted result
P9,108238.369297,17434.554321,45281.086230,86971.625971,97039.373493,106941.190192,118215.186918,132696.994490,162395.200786,79536.670487,0.766428571,공통난수 확률가중 결과,CRN probability-weighted result
